Hostname,User,Type
xhq9njpeuhaug0hw,tailnet-cdb8,Random characters
h7r7i5xxmi404531,tailnet-cdb8,Random characters
ckxsshhtpsburd92,tailnet-cdb8,Random characters
b6hckxevm08pxuls,tailnet-cdb8,Random characters
3z4n7g3d854r4zv7,tailnet-cdb8,Random characters
h5oaselnyumu5wdb,tailnet-cdb8,Random characters
fht83ce7d06uejcu,tailnet-cdb8,Random characters
lautfrffj6j43mon,tailnet-cdb8,Random characters
0llcmnumsd2na6jy,tailnet-cdb8,Random characters
w981u4jiwbmjuir3,tailnet-cdb8,Random characters
xj7l9qqd0edkrrdf,tailnet-cdb8,Random characters
r4nrfhkt0ak4l0qp,tailnet-cdb8,Random characters
3w2xi4hw4bw1nwr7,tailnet-cdb8,Random characters
l68oqe84862ku2db,tailnet-cdb8,Random characters
tkub04m2rwgarb3s,tailnet-cdb8,Random characters
rk8c4e23m722a7h1,tailnet-cdb8,Random characters
e2l0jow0n534rpx1,tailnet-cdb8,Random characters
y091maygxv67tavt,tailnet-cdb8,Random characters
ip-172-31-20-183,tailnet-cdb8,IP
la-tailscale,tailnet-d1e9,Intended usage
egginer,tailnet-d2ee,Non-English word
ultimaprova,tailnet-d393,Non-English word
dioporco,tailnet-d393,Non-English word
mac,tailnet-d393,Hardware
nas,tailnet-d9f0,Hardware
pb1-arrr-rip,tailnet-dbdc,Intended usage
csbl-gpu,tailnet-dda9,Hardware
pinus,tailnet-e64b,Non-descriptive word
everett,tailnet-e8f0,Non-descriptive word
faultables-devbox,tailnet-ead2,Intended usage
faultables-raspi,tailnet-ead2,Intended usage
lab-home,tailnet-efa4,Physical location
ws,tailnet-efab,Intended usage
ubuntu-s-1vcpu-2gb-fra1-01,tailnet-efb6,Hardware
newton,tailnet-f8bc,Human-like name
leechbox-1,tailnet-f972,Intended usage
notebook,tailnet-f972,Hardware
milkshake,tailnet-fbec,Non-descriptive word
nixos,takaya-boa,OS name
iori,takaya-salmon,Human-like name
work-macbook,tapir-in,Intended usage
cizberry,tapir-in,Human-like name
mikberry,tapir-in,Human-like name
node1,tapir-mamba,Intended usage
pitrh,tiger-delta,Random characters
docker,tiger-micro,Software running
local,tiger-yo,Intended usage
oracle1,turkey-coho,Hosting provider
ubuntu,turkey-coho,OS name
charles-lenovo-yoga,turkey-iwato,Hardware+Name
elastic,turkey-lake,Software running
dmitrys-pihole,turkey-lake,OS+User
q-store,turtle-goanna,Intended usage
personal-wiki,tuxedo-coho,Intended usage
raspberrypi3,unicorn-climb,Hardware
wuffles,unicorn-eagle,Hardware
wolf,unicorn-gray,Non-descriptive word
home,vaquita-interval,Physical location
steamos,velociraptor-augmented,OS name
caliburn,velociraptor-augmented,Non-descriptive word
fruitlandserver,velociraptor-cobra,Intended usage
hydra,velociraptor-mamba,Non-descriptive word
fold,velociraptor-mamba,Non-descriptive word
primary,velociraptor-ostrich,Intended usage
wsl,velociraptor-ostrich,Software running
rabbit,vulture-lime,Non-descriptive word
2b,walrus-acoustic,Random characters
pathos,walrus-tet,Non-descriptive word
raspberrypi,warthog-alligator,Default name
octoprint,werewolf-augmented,Software running
drmcg-linux-1,werewolf-in,OS name
ubuntu,werewolf-map,OS name
nito,werewolf-moth,Fictional thing
bgarf,werewolf-mountain,Human-like name
bgarf-ubuntu,werewolf-mountain,Hardware+Name
dockerbox,whale-interval,Software running
nextcloud,whale-triceratops,Software running
hetz2-arch,wildebeest-minor,Hosting provider
zrh1,wolf-arctic,Random characters
lois,wolf-gray,Made-up word
mr-radar,wolf-interval,Intended usage
media-nas,wolf-lizard,Intended usage
v01-casper,wolf-shark,Software running
homebridge,wolf-turtle,Intended usage
apiserver,wolf-yo,Intended usage
raspberrypi-aintree,wombat-bramble,Human-like name
zion,wombat-cloud,Human-like name
pop1,xerus-coho,OS name
npi,yak-celsius,Random characters
orbit,yak-cobra,Non-descriptive word
debian,zebra-cloud,OS name
zun-remote,zebra-scala,Intended usage
zun-base,zebra-scala,Intended usage
code,zebra-trout,Intended usage
